Province,Type,Expenditure
MB,OTHER COSTS,"11,040"
SK,ACCOMMODATION,"190,850"
SK,VEHICLE RENTAL,"10,833"
SK,VEHICLE OPERATION (INCL. GAS & REPAIRS),"314,890"
SK,LOCAL TRANSPORTATION,"5,168"
SK,"TRANSPORTATION FARES (PLANE, BUS, ETC.)","127,674"
SK,"FOOD & BEVERAGE, IN RESTAURANTS & BARS","189,269"
SK,"FOOD & BEVERAGE, IN STORES DURING TRIP","88,770"
SK,RECREATION,"36,852"
SK,ENTERTAINMENT,"16,919"
SK,CLOTHING,"83,387"
SK,OTHER COSTS,"17,581"
AB,ACCOMMODATION,"784,600"
AB,VEHICLE RENTAL,"75,684"
AB,VEHICLE OPERATION (INCL. GAS & REPAIRS),"836,022"
AB,LOCAL TRANSPORTATION,"50,016"
AB,"TRANSPORTATION FARES (PLANE, BUS, ETC.)","662,997"
AB,"FOOD & BEVERAGE, IN RESTAURANTS & BARS","723,652"
AB,"FOOD & BEVERAGE, IN STORES DURING TRIP","254,002"
AB,RECREATION,"103,950"
AB,ENTERTAINMENT,"96,606"
AB,CLOTHING,"263,712"
AB,OTHER COSTS,"72,041"
BC,ACCOMMODATION,"1,232,554"
BC,VEHICLE RENTAL,"103,669"
BC,VEHICLE OPERATION (INCL. GAS & REPAIRS),"868,347"
BC,LOCAL TRANSPORTATION,"73,055"
BC,"TRANSPORTATION FARES (PLANE, BUS, ETC.)","852,089"
BC,"FOOD & BEVERAGE, IN RESTAURANTS & BARS","1,056,181"
BC,"FOOD & BEVERAGE, IN STORES DURING TRIP","461,824"
BC,RECREATION,"257,257"
BC,ENTERTAINMENT,"148,115"
BC,CLOTHING,"278,555"
BC,OTHER COSTS,"105,442"
